Instant, Gate ID, Position, Vehicle Type, Vehicle ID, Priority, Time On Road,Time On Preselector, Action
0,G1,4,Car,V1,2,1,0,Se movio de pos: 4 a pos: 3
0,G0,4,Ambulance,V96,1,1,0,Se movio de pos: 4 a pos: 3
0,G2,4,Car,V2,2,1,0,Se movio de pos: 4 a pos: 3
0,G3,4,Car,V3,2,1,0,Se movio de pos: 4 a pos: 3
0,G4,4,Car,V4,2,1,0,Se movio de pos: 4 a pos: 3
1,G0,3,Ambulance,V96,1,2,0,Se movio de pos: 3 a pos: 2
1,G0,4,Car,V5,2,1,0,Se movio de pos: 4 a pos: 3
1,G1,3,Car,V1,2,2,0,Se movio de pos: 3 a pos: 2
1,G1,4,Car,V6,2,1,0,Se movio de pos: 4 a pos: 3
1,G2,3,Car,V2,2,2,0,Se movio de pos: 3 a pos: 2
1,G2,4,Car,V7,2,1,0,Se movio de pos: 4 a pos: 3
1,G3,3,Car,V3,2,2,0,Se movio de pos: 3 a pos: 2
1,G3,4,Car,V8,2,1,0,Se movio de pos: 4 a pos: 3
1,G4,3,Car,V4,2,2,0,Se movio de pos: 3 a pos: 2
1,G4,4,Commercial Truck,V81,3,1,1,Se movio de pos: 4 a pos: 3
2,G1,2,Car,V1,2,3,0,Se movio de pos: 2 a pos: 1
2,G1,3,Car,V6,2,2,0,Se movio de pos: 3 a pos: 2
2,G1,4,Car,V10,2,1,0,Se movio de pos: 4 a pos: 3
2,G0,2,Ambulance,V96,1,3,0,Se movio de pos: 2 a pos: 1
2,G0,3,Car,V5,2,2,0,Se movio de pos: 3 a pos: 2
2,G0,4,Car,V9,2,1,0,Se movio de pos: 4 a pos: 3
2,G2,2,Car,V2,2,3,0,Se movio de pos: 2 a pos: 1
2,G2,3,Car,V7,2,2,0,Se movio de pos: 3 a pos: 2
2,G2,4,Car,V11,2,1,0,Se movio de pos: 4 a pos: 3
2,G3,2,Car,V3,2,3,0,Se movio de pos: 2 a pos: 1
2,G3,3,Car,V8,2,2,0,Se movio de pos: 3 a pos: 2
2,G3,4,Car,V12,2,1,0,Se movio de pos: 4 a pos: 3
2,G4,2,Car,V4,2,3,0,Se movio de pos: 2 a pos: 1
2,G4,3,Commercial Truck,V81,3,2,1,Se movio de pos: 3 a pos: 2
3,G0,1,Ambulance,V96,1,4,0,Se movio de pos: 1 a pos: 0
3,G0,2,Car,V5,2,3,0,Se movio de pos: 2 a pos: 1
3,G0,3,Car,V9,2,2,0,Se movio de pos: 3 a pos: 2
3,G0,4,Commercial Truck,V83,3,1,0,Se movio de pos: 4 a pos: 3
3,G1,1,Car,V1,2,4,0,Se movio de pos: 1 a pos: 0
3,G1,2,Car,V6,2,3,0,Se movio de pos: 2 a pos: 1
3,G1,3,Car,V10,2,2,0,Se movio de pos: 3 a pos: 2
3,G3,1,Car,V3,2,4,0,Se movio de pos: 1 a pos: 0
3,G3,2,Car,V8,2,3,0,Se movio de pos: 2 a pos: 1
3,G3,3,Car,V12,2,2,0,Se movio de pos: 3 a pos: 2
3,G2,1,Car,V2,2,4,0,Se movio de pos: 1 a pos: 0
3,G2,2,Car,V7,2,3,0,Se movio de pos: 2 a pos: 1
3,G2,3,Car,V11,2,2,0,Se movio de pos: 3 a pos: 2
3,G4,1,Car,V4,2,4,0,Se movio de pos: 1 a pos: 0
3,G4,2,Commercial Truck,V81,3,3,1,Se movio de pos: 2 a pos: 1
3,G4,4,Commercial Truck,V82,3,1,0,Se movio de pos: 4 a pos: 3
4,G0,0,Ambulance,V96,1,5,0,Pasó un instante en la caja
4,G0,1,Car,V5,2,4,0,Espera en posición: 1
4,G0,2,Car,V9,2,3,0,Espera en posición: 2
4,G0,3,Commercial Truck,V83,3,2,0,Espera en posición: 3
