Instant, Gate ID, Position, Vehicle ID, Priority, Time Waiting, Action
0,G2,2,V3,1,1,Se movio de pos: 2 a pos: 1
0,G3,2,V4,1,1,Se movio de pos: 2 a pos: 1
0,G4,2,V5,1,1,Se movio de pos: 2 a pos: 1
0,G1,2,V2,1,1,Se movio de pos: 2 a pos: 1
0,G0,2,V1,1,1,Se movio de pos: 2 a pos: 1
1,G0,1,V1,1,2,Se movio de pos: 1 a pos: 0
1,G0,2,V6,1,1,Se movio de pos: 2 a pos: 1
1,G1,1,V2,1,2,Se movio de pos: 1 a pos: 0
1,G1,2,V7,1,1,Se movio de pos: 2 a pos: 1
1,G2,1,V3,1,2,Se movio de pos: 1 a pos: 0
1,G2,2,V8,1,1,Se movio de pos: 2 a pos: 1
1,G3,1,V4,1,2,Se movio de pos: 1 a pos: 0
1,G3,2,V9,1,1,Se movio de pos: 2 a pos: 1
1,G4,1,V5,1,2,Se movio de pos: 1 a pos: 0
1,G4,2,V10,1,1,Se movio de pos: 2 a pos: 1
2,G0,0,V1,1,2,Pasó un instante en la caja
2,G1,0,V2,1,2,Pasó un instante en la caja
2,G2,0,V3,1,2,Pasó un instante en la caja
2,G3,0,V4,1,2,Pasó un instante en la caja
2,G4,0,V5,1,2,Pasó un instante en la caja
3,G0,0,V1,1,3,Pasó un instante en la caja
3,G0,0,V1,1,4,Se le cobró lo correspondiente
3,G0,1,V6,1,3,Se movio de pos: 1 a pos: 0
3,G0,2,V11,1,2,Se movio de pos: 2 a pos: 1
3,G1,0,V2,1,3,Pasó un instante en la caja
3,G1,0,V2,1,4,Se le cobró lo correspondiente
3,G1,1,V7,1,3,Se movio de pos: 1 a pos: 0
3,G1,2,V12,1,2,Se movio de pos: 2 a pos: 1
3,G2,0,V3,1,3,Pasó un instante en la caja
3,G2,0,V3,1,4,Se le cobró lo correspondiente
3,G2,1,V8,1,3,Se movio de pos: 1 a pos: 0
3,G2,2,V13,1,2,Se movio de pos: 2 a pos: 1
3,G3,0,V4,1,3,Pasó un instante en la caja
3,G3,0,V4,1,4,Se le cobró lo correspondiente
3,G3,1,V9,1,3,Se movio de pos: 1 a pos: 0
3,G3,2,V14,1,2,Se movio de pos: 2 a pos: 1
3,G4,0,V5,1,3,Pasó un instante en la caja
3,G4,0,V5,1,4,Se le cobró lo correspondiente
3,G4,1,V10,1,3,Se movio de pos: 1 a pos: 0
3,G4,2,V15,1,2,Se movio de pos: 2 a pos: 1
4,G0,0,V6,1,3,Pasó un instante en la caja
4,G1,0,V7,1,3,Pasó un instante en la caja
4,G2,0,V8,1,3,Pasó un instante en la caja
4,G3,0,V9,1,3,Pasó un instante en la caja
4,G4,0,V10,1,3,Pasó un instante en la caja
5,G0,0,V6,1,4,Pasó un instante en la caja
5,G0,0,V6,1,5,Se le cobró lo correspondiente
5,G0,1,V11,1,4,Se movio de pos: 1 a pos: 0
5,G0,2,V16,1,2,Se movio de pos: 2 a pos: 1
5,G1,0,V7,1,4,Pasó un instante en la caja
5,G1,0,V7,1,5,Se le cobró lo correspondiente
5,G1,1,V12,1,4,Se movio de pos: 1 a pos: 0
5,G1,2,V17,1,2,Se movio de pos: 2 a pos: 1
5,G2,0,V8,1,4,Pasó un instante en la caja
5,G2,0,V8,1,5,Se le cobró lo correspondiente
5,G2,1,V13,1,4,Se movio de pos: 1 a pos: 0
5,G2,2,V18,1,2,Se movio de pos: 2 a pos: 1
5,G3,0,V9,1,4,Pasó un instante en la caja
5,G3,0,V9,1,5,Se le cobró lo correspondiente
5,G3,1,V14,1,4,Se movio de pos: 1 a pos: 0
5,G3,2,V19,1,2,Se movio de pos: 2 a pos: 1
5,G4,0,V10,1,4,Pasó un instante en la caja
5,G4,0,V10,1,5,Se le cobró lo correspondiente
5,G4,1,V15,1,4,Se movio de pos: 1 a pos: 0
5,G4,2,V20,1,2,Se movio de pos: 2 a pos: 1
6,G0,0,V11,1,4,Pasó un instante en la caja
6,G2,0,V13,1,4,Pasó un instante en la caja
6,G1,0,V12,1,4,Pasó un instante en la caja
6,G3,0,V14,1,4,Pasó un instante en la caja
6,G4,0,V15,1,4,Pasó un instante en la caja
7,G0,0,V11,1,5,Pasó un instante en la caja
7,G0,0,V11,1,6,Se le cobró lo correspondiente
7,G0,1,V16,1,4,Se movio de pos: 1 a pos: 0
7,G0,2,V21,1,2,Se movio de pos: 2 a pos: 1
7,G2,0,V13,1,5,Pasó un instante en la caja
7,G2,0,V13,1,6,Se le cobró lo correspondiente
7,G2,1,V18,1,4,Se movio de pos: 1 a pos: 0
7,G2,2,V23,1,2,Se movio de pos: 2 a pos: 1
7,G4,0,V15,1,5,Pasó un instante en la caja
7,G4,0,V15,1,6,Se le cobró lo correspondiente
7,G4,1,V20,1,4,Se movio de pos: 1 a pos: 0
7,G4,2,V25,1,2,Se movio de pos: 2 a pos: 1
7,G3,0,V14,1,5,Pasó un instante en la caja
7,G3,0,V14,1,6,Se le cobró lo correspondiente
7,G3,1,V19,1,4,Se movio de pos: 1 a pos: 0
7,G3,2,V24,1,2,Se movio de pos: 2 a pos: 1
7,G1,0,V12,1,5,Pasó un instante en la caja
7,G1,0,V12,1,6,Se le cobró lo correspondiente
7,G1,1,V17,1,4,Se movio de pos: 1 a pos: 0
7,G1,2,V22,1,2,Se movio de pos: 2 a pos: 1
8,G0,0,V16,1,4,Pasó un instante en la caja
8,G2,0,V18,1,4,Pasó un instante en la caja
8,G1,0,V17,1,4,Pasó un instante en la caja
8,G4,0,V20,1,4,Pasó un instante en la caja
8,G3,0,V19,1,4,Pasó un instante en la caja
9,G0,0,V16,1,5,Pasó un instante en la caja
9,G0,0,V16,1,6,Se le cobró lo correspondiente
9,G0,1,V21,1,4,Se movio de pos: 1 a pos: 0
9,G0,2,V26,1,2,Se movio de pos: 2 a pos: 1
9,G2,0,V18,1,5,Pasó un instante en la caja
9,G2,0,V18,1,6,Se le cobró lo correspondiente
9,G2,1,V23,1,4,Se movio de pos: 1 a pos: 0
9,G2,2,V28,1,2,Se movio de pos: 2 a pos: 1
9,G1,0,V17,1,5,Pasó un instante en la caja
9,G1,0,V17,1,6,Se le cobró lo correspondiente
9,G1,1,V22,1,4,Se movio de pos: 1 a pos: 0
9,G1,2,V27,1,2,Se movio de pos: 2 a pos: 1
9,G3,0,V19,1,5,Pasó un instante en la caja
9,G3,0,V19,1,6,Se le cobró lo correspondiente
9,G3,1,V24,1,4,Se movio de pos: 1 a pos: 0
9,G3,2,V29,1,2,Se movio de pos: 2 a pos: 1
9,G4,0,V20,1,5,Pasó un instante en la caja
9,G4,0,V20,1,6,Se le cobró lo correspondiente
9,G4,1,V25,1,4,Se movio de pos: 1 a pos: 0
9,G4,2,V30,1,2,Se movio de pos: 2 a pos: 1
10,G0,0,V21,1,4,Pasó un instante en la caja
10,G1,0,V22,1,4,Pasó un instante en la caja
10,G3,0,V24,1,4,Pasó un instante en la caja
10,G2,0,V23,1,4,Pasó un instante en la caja
10,G4,0,V25,1,4,Pasó un instante en la caja
11,G0,0,V21,1,5,Pasó un instante en la caja
11,G0,0,V21,1,6,Se le cobró lo correspondiente
11,G0,1,V26,1,4,Se movio de pos: 1 a pos: 0
11,G1,0,V22,1,5,Pasó un instante en la caja
11,G1,0,V22,1,6,Se le cobró lo correspondiente
11,G1,1,V27,1,4,Se movio de pos: 1 a pos: 0
11,G2,0,V23,1,5,Pasó un instante en la caja
11,G2,0,V23,1,6,Se le cobró lo correspondiente
11,G2,1,V28,1,4,Se movio de pos: 1 a pos: 0
11,G3,0,V24,1,5,Pasó un instante en la caja
11,G3,0,V24,1,6,Se le cobró lo correspondiente
11,G3,1,V29,1,4,Se movio de pos: 1 a pos: 0
11,G4,0,V25,1,5,Pasó un instante en la caja
11,G4,0,V25,1,6,Se le cobró lo correspondiente
11,G4,1,V30,1,4,Se movio de pos: 1 a pos: 0
12,G0,0,V26,1,4,Pasó un instante en la caja
12,G1,0,V27,1,4,Pasó un instante en la caja
12,G2,0,V28,1,4,Pasó un instante en la caja
12,G3,0,V29,1,4,Pasó un instante en la caja
12,G4,0,V30,1,4,Pasó un instante en la caja
13,G0,0,V26,1,5,Pasó un instante en la caja
13,G0,0,V26,1,6,Se le cobró lo correspondiente
13,G1,0,V27,1,5,Pasó un instante en la caja
13,G1,0,V27,1,6,Se le cobró lo correspondiente
13,G2,0,V28,1,5,Pasó un instante en la caja
13,G2,0,V28,1,6,Se le cobró lo correspondiente
13,G3,0,V29,1,5,Pasó un instante en la caja
13,G3,0,V29,1,6,Se le cobró lo correspondiente
13,G4,0,V30,1,5,Pasó un instante en la caja
13,G4,0,V30,1,6,Se le cobró lo correspondiente
