Instant, Gate ID, Position, Vehicle Type, Vehicle ID, Priority, Time On Road,Time On Preselector, Action
0,G2,19,Car,V2,2,1,0,Se movio de pos: 19 a pos: 18
0,G0,19,Ambulance,V96,1,1,0,Se movio de pos: 19 a pos: 18
0,G3,19,Car,V3,2,1,0,Se movio de pos: 19 a pos: 18
0,G1,19,Car,V1,2,1,0,Se movio de pos: 19 a pos: 18
0,G4,19,Car,V4,2,1,0,Se movio de pos: 19 a pos: 18
1,G0,18,Ambulance,V96,1,2,0,Se movio de pos: 18 a pos: 17
1,G0,19,Commercial Truck,V81,3,1,1,Se movio de pos: 19 a pos: 18
1,G1,18,Car,V1,2,2,0,Se movio de pos: 18 a pos: 17
1,G2,18,Car,V2,2,2,0,Se movio de pos: 18 a pos: 17
1,G3,18,Car,V3,2,2,0,Se movio de pos: 18 a pos: 17
1,G4,18,Car,V4,2,2,0,Se movio de pos: 18 a pos: 17
2,G0,17,Ambulance,V96,1,3,0,Se movio de pos: 17 a pos: 16
2,G0,18,Commercial Truck,V81,3,2,1,Se movio de pos: 18 a pos: 17
2,G1,17,Car,V1,2,3,0,Se movio de pos: 17 a pos: 16
2,G1,19,Car,V5,2,1,0,Se movio de pos: 19 a pos: 18
2,G2,17,Car,V2,2,3,0,Se movio de pos: 17 a pos: 16
2,G2,19,Car,V6,2,1,0,Se movio de pos: 19 a pos: 18
2,G3,17,Car,V3,2,3,0,Se movio de pos: 17 a pos: 16
2,G3,19,Car,V7,2,1,0,Se movio de pos: 19 a pos: 18
2,G4,17,Car,V4,2,3,0,Se movio de pos: 17 a pos: 16
2,G4,19,Car,V8,2,1,0,Se movio de pos: 19 a pos: 18
3,G0,16,Ambulance,V96,1,4,0,Se movio de pos: 16 a pos: 15
3,G0,17,Commercial Truck,V81,3,3,1,Se movio de pos: 17 a pos: 16
3,G1,16,Car,V1,2,4,0,Se movio de pos: 16 a pos: 15
3,G1,18,Car,V5,2,2,0,Se movio de pos: 18 a pos: 17
3,G2,16,Car,V2,2,4,0,Se movio de pos: 16 a pos: 15
3,G2,18,Car,V6,2,2,0,Se movio de pos: 18 a pos: 17
3,G3,16,Car,V3,2,4,0,Se movio de pos: 16 a pos: 15
3,G3,18,Car,V7,2,2,0,Se movio de pos: 18 a pos: 17
3,G4,16,Car,V4,2,4,0,Se movio de pos: 16 a pos: 15
3,G4,18,Car,V8,2,2,0,Se movio de pos: 18 a pos: 17
4,G0,15,Ambulance,V96,1,5,0,Se movio de pos: 15 a pos: 14
4,G0,16,Commercial Truck,V81,3,4,1,Se movio de pos: 16 a pos: 15
4,G1,15,Car,V1,2,5,0,Se movio de pos: 15 a pos: 14
4,G1,17,Car,V5,2,3,0,Se movio de pos: 17 a pos: 16
4,G2,15,Car,V2,2,5,0,Se movio de pos: 15 a pos: 14
4,G2,17,Car,V6,2,3,0,Se movio de pos: 17 a pos: 16
4,G3,15,Car,V3,2,5,0,Se movio de pos: 15 a pos: 14
4,G3,17,Car,V7,2,3,0,Se movio de pos: 17 a pos: 16
4,G4,15,Car,V4,2,5,0,Se movio de pos: 15 a pos: 14
4,G4,17,Car,V8,2,3,0,Se movio de pos: 17 a pos: 16
5,G0,14,Ambulance,V96,1,6,0,Se movio de pos: 14 a pos: 13
5,G0,15,Commercial Truck,V81,3,5,1,Se movio de pos: 15 a pos: 14
5,G0,19,Car,V9,2,1,0,Se movio de pos: 19 a pos: 18
5,G1,14,Car,V1,2,6,0,Se movio de pos: 14 a pos: 13
5,G1,16,Car,V5,2,4,0,Se movio de pos: 16 a pos: 15
5,G1,19,Car,V10,2,1,0,Se movio de pos: 19 a pos: 18
5,G2,14,Car,V2,2,6,0,Se movio de pos: 14 a pos: 13
5,G2,16,Car,V6,2,4,0,Se movio de pos: 16 a pos: 15
5,G2,19,Car,V11,2,1,0,Se movio de pos: 19 a pos: 18
5,G4,14,Car,V4,2,6,0,Se movio de pos: 14 a pos: 13
5,G4,16,Car,V8,2,4,0,Se movio de pos: 16 a pos: 15
5,G3,14,Car,V3,2,6,0,Se movio de pos: 14 a pos: 13
5,G3,16,Car,V7,2,4,0,Se movio de pos: 16 a pos: 15
5,G3,19,Car,V12,2,1,0,Se movio de pos: 19 a pos: 18
6,G0,13,Ambulance,V96,1,7,0,Se movio de pos: 13 a pos: 12
6,G0,14,Commercial Truck,V81,3,6,1,Se movio de pos: 14 a pos: 13
6,G0,18,Car,V9,2,2,0,Se movio de pos: 18 a pos: 17
6,G1,13,Car,V1,2,7,0,Se movio de pos: 13 a pos: 12
6,G1,15,Car,V5,2,5,0,Se movio de pos: 15 a pos: 14
6,G1,18,Car,V10,2,2,0,Se movio de pos: 18 a pos: 17
6,G2,13,Car,V2,2,7,0,Se movio de pos: 13 a pos: 12
6,G2,15,Car,V6,2,5,0,Se movio de pos: 15 a pos: 14
6,G2,18,Car,V11,2,2,0,Se movio de pos: 18 a pos: 17
6,G3,13,Car,V3,2,7,0,Se movio de pos: 13 a pos: 12
6,G3,15,Car,V7,2,5,0,Se movio de pos: 15 a pos: 14
6,G3,18,Car,V12,2,2,0,Se movio de pos: 18 a pos: 17
6,G4,13,Car,V4,2,7,0,Se movio de pos: 13 a pos: 12
6,G4,15,Car,V8,2,5,0,Se movio de pos: 15 a pos: 14
7,G0,12,Ambulance,V96,1,8,0,Se movio de pos: 12 a pos: 11
7,G0,13,Commercial Truck,V81,3,7,1,Se movio de pos: 13 a pos: 12
7,G0,17,Car,V9,2,3,0,Se movio de pos: 17 a pos: 16
7,G0,19,Car,V14,2,1,0,Se movio de pos: 19 a pos: 18
7,G1,12,Car,V1,2,8,0,Se movio de pos: 12 a pos: 11
7,G1,14,Car,V5,2,6,0,Se movio de pos: 14 a pos: 13
7,G1,17,Car,V10,2,3,0,Se movio de pos: 17 a pos: 16
7,G1,19,Car,V15,2,1,0,Se movio de pos: 19 a pos: 18
7,G2,12,Car,V2,2,8,0,Se movio de pos: 12 a pos: 11
7,G2,14,Car,V6,2,6,0,Se movio de pos: 14 a pos: 13
7,G2,17,Car,V11,2,3,0,Se movio de pos: 17 a pos: 16
7,G2,19,Car,V16,2,1,0,Se movio de pos: 19 a pos: 18
7,G3,12,Car,V3,2,8,0,Se movio de pos: 12 a pos: 11
7,G3,14,Car,V7,2,6,0,Se movio de pos: 14 a pos: 13
7,G3,17,Car,V12,2,3,0,Se movio de pos: 17 a pos: 16
7,G3,19,Commercial Truck,V82,3,1,0,Se movio de pos: 19 a pos: 18
7,G4,12,Car,V4,2,8,0,Se movio de pos: 12 a pos: 11
7,G4,14,Car,V8,2,6,0,Se movio de pos: 14 a pos: 13
7,G4,19,Car,V13,2,1,0,Se movio de pos: 19 a pos: 18
8,G0,11,Ambulance,V96,1,9,0,Se movio de pos: 11 a pos: 10
8,G0,12,Commercial Truck,V81,3,8,1,Se movio de pos: 12 a pos: 11
8,G0,16,Car,V9,2,4,0,Se movio de pos: 16 a pos: 15
8,G0,18,Car,V14,2,2,0,Se movio de pos: 18 a pos: 17
8,G1,11,Car,V1,2,9,0,Se movio de pos: 11 a pos: 10
8,G1,13,Car,V5,2,7,0,Se movio de pos: 13 a pos: 12
8,G1,16,Car,V10,2,4,0,Se movio de pos: 16 a pos: 15
8,G1,18,Car,V15,2,2,0,Se movio de pos: 18 a pos: 17
8,G2,11,Car,V2,2,9,0,Se movio de pos: 11 a pos: 10
8,G2,13,Car,V6,2,7,0,Se movio de pos: 13 a pos: 12
8,G2,16,Car,V11,2,4,0,Se movio de pos: 16 a pos: 15
8,G2,18,Car,V16,2,2,0,Se movio de pos: 18 a pos: 17
8,G3,11,Car,V3,2,9,0,Se movio de pos: 11 a pos: 10
8,G3,13,Car,V7,2,7,0,Se movio de pos: 13 a pos: 12
8,G3,16,Car,V12,2,4,0,Se movio de pos: 16 a pos: 15
8,G3,18,Commercial Truck,V82,3,2,0,Se movio de pos: 18 a pos: 17
8,G4,11,Car,V4,2,9,0,Se movio de pos: 11 a pos: 10
8,G4,13,Car,V8,2,7,0,Se movio de pos: 13 a pos: 12
8,G4,18,Car,V13,2,2,0,Se movio de pos: 18 a pos: 17
8,G4,19,Commercial Truck,V83,3,1,1,Se movio de pos: 19 a pos: 18
9,G0,10,Ambulance,V96,1,10,0,Se movio de pos: 10 a pos: 9
9,G0,11,Commercial Truck,V81,3,9,1,Se movio de pos: 11 a pos: 10
9,G0,15,Car,V9,2,5,0,Se movio de pos: 15 a pos: 14
9,G0,17,Car,V14,2,3,0,Se movio de pos: 17 a pos: 16
