Instant, Gate ID, Position, Vehicle Type, Vehicle ID, Priority, Time On Road,Time On Preselector, Action
0,G0,19,Ambulance,V96,1,1,0,Se movio de pos: 19 a pos: 18
0,G1,19,Car,V1,2,1,0,Se movio de pos: 19 a pos: 18
1,G1,18,Car,V1,2,2,0,Se movio de pos: 18 a pos: 17
1,G1,19,Car,V3,2,1,1,Se movio de pos: 19 a pos: 18
1,G0,18,Ambulance,V96,1,2,0,Se movio de pos: 18 a pos: 17
1,G0,19,Car,V2,2,1,1,Se movio de pos: 19 a pos: 18
2,G0,17,Ambulance,V96,1,3,0,Se movio de pos: 17 a pos: 16
2,G0,18,Car,V2,2,2,1,Se movio de pos: 18 a pos: 17
2,G0,19,Car,V4,2,1,2,Se movio de pos: 19 a pos: 18
2,G1,17,Car,V1,2,3,0,Se movio de pos: 17 a pos: 16
2,G1,18,Car,V3,2,2,1,Se movio de pos: 18 a pos: 17
2,G1,19,Commercial Truck,V81,3,1,2,Se movio de pos: 19 a pos: 18
3,G0,16,Ambulance,V96,1,4,0,Se movio de pos: 16 a pos: 15
3,G0,17,Car,V2,2,3,1,Se movio de pos: 17 a pos: 16
3,G0,18,Car,V4,2,2,2,Se movio de pos: 18 a pos: 17
3,G1,16,Car,V1,2,4,0,Se movio de pos: 16 a pos: 15
3,G1,17,Car,V3,2,3,1,Se movio de pos: 17 a pos: 16
3,G1,18,Commercial Truck,V81,3,2,2,Se movio de pos: 18 a pos: 17
4,G0,15,Ambulance,V96,1,5,0,Se movio de pos: 15 a pos: 14
4,G0,16,Car,V2,2,4,1,Se movio de pos: 16 a pos: 15
4,G0,17,Car,V4,2,3,2,Se movio de pos: 17 a pos: 16
4,G1,15,Car,V1,2,5,0,Se movio de pos: 15 a pos: 14
4,G1,16,Car,V3,2,4,1,Se movio de pos: 16 a pos: 15
4,G1,17,Commercial Truck,V81,3,3,2,Se movio de pos: 17 a pos: 16
5,G0,14,Ambulance,V96,1,6,0,Se movio de pos: 14 a pos: 13
5,G0,15,Car,V2,2,5,1,Se movio de pos: 15 a pos: 14
5,G0,16,Car,V4,2,4,2,Se movio de pos: 16 a pos: 15
5,G0,19,Car,V5,2,1,0,Se movio de pos: 19 a pos: 18
5,G1,14,Car,V1,2,6,0,Se movio de pos: 14 a pos: 13
5,G1,15,Car,V3,2,5,1,Se movio de pos: 15 a pos: 14
5,G1,16,Commercial Truck,V81,3,4,2,Se movio de pos: 16 a pos: 15
5,G1,19,Car,V6,2,1,0,Se movio de pos: 19 a pos: 18
6,G0,13,Ambulance,V96,1,7,0,Se movio de pos: 13 a pos: 12
6,G0,14,Car,V2,2,6,1,Se movio de pos: 14 a pos: 13
6,G0,15,Car,V4,2,5,2,Se movio de pos: 15 a pos: 14
6,G0,18,Car,V5,2,2,0,Se movio de pos: 18 a pos: 17
6,G0,19,Car,V7,2,1,1,Se movio de pos: 19 a pos: 18
6,G1,13,Car,V1,2,7,0,Se movio de pos: 13 a pos: 12
6,G1,14,Car,V3,2,6,1,Se movio de pos: 14 a pos: 13
6,G1,15,Commercial Truck,V81,3,5,2,Se movio de pos: 15 a pos: 14
6,G1,18,Car,V6,2,2,0,Se movio de pos: 18 a pos: 17
6,G1,19,Car,V8,2,1,1,Se movio de pos: 19 a pos: 18
7,G0,12,Ambulance,V96,1,8,0,Se movio de pos: 12 a pos: 11
7,G0,13,Car,V2,2,7,1,Se movio de pos: 13 a pos: 12
7,G0,14,Car,V4,2,6,2,Se movio de pos: 14 a pos: 13
7,G0,17,Car,V5,2,3,0,Se movio de pos: 17 a pos: 16
7,G0,18,Car,V7,2,2,1,Se movio de pos: 18 a pos: 17
