Instant, Gate ID, Position, Vehicle Type, Vehicle ID, Priority, Time On Road,Time On Preselector, Action
0,G0,4,Commercial Truck,V1,3,1,0,Se movio de pos: 4 a pos: 3
0,G1,4,Commercial Truck,V2,3,1,0,Se movio de pos: 4 a pos: 3
1,G0,3,Commercial Truck,V1,3,2,0,Se movio de pos: 3 a pos: 2
1,G0,4,Commercial Truck,V3,3,1,1,Se movio de pos: 4 a pos: 3
1,G1,3,Commercial Truck,V2,3,2,0,Se movio de pos: 3 a pos: 2
1,G1,4,Commercial Truck,V4,3,1,1,Se movio de pos: 4 a pos: 3
2,G0,2,Commercial Truck,V1,3,3,0,Se movio de pos: 2 a pos: 1
2,G0,3,Commercial Truck,V3,3,2,1,Se movio de pos: 3 a pos: 2
2,G0,4,Ambulance,V7,1,1,0,Se movio de pos: 4 a pos: 3
2,G1,2,Commercial Truck,V2,3,3,0,Se movio de pos: 2 a pos: 1
2,G1,3,Commercial Truck,V4,3,2,1,Se movio de pos: 3 a pos: 2
2,G1,4,Commercial Truck,V5,3,1,2,Se movio de pos: 4 a pos: 3
3,G0,1,Commercial Truck,V1,3,4,0,Se movio de pos: 1 a pos: 0
3,G0,2,Commercial Truck,V3,3,3,1,Se movio de pos: 2 a pos: 1
3,G0,3,Ambulance,V7,1,2,0,Se movio de pos: 3 a pos: 2
3,G0,4,Car,V8,2,1,0,Se movio de pos: 4 a pos: 3
3,G1,1,Commercial Truck,V2,3,4,0,Se movio de pos: 1 a pos: 0
3,G1,2,Commercial Truck,V4,3,3,1,Se movio de pos: 2 a pos: 1
3,G1,3,Commercial Truck,V5,3,2,2,Se movio de pos: 3 a pos: 2
3,G1,4,Commercial Truck,V6,3,1,3,Se movio de pos: 4 a pos: 3
4,G0,0,Commercial Truck,V1,3,5,0,Pasó un instante en la caja
4,G0,1,Commercial Truck,V3,3,4,1,Espera en posición: 1
4,G0,2,Ambulance,V7,1,3,0,Espera en posición: 2
4,G0,3,Car,V8,2,2,0,Espera en posición: 3
4,G1,0,Commercial Truck,V2,3,5,0,Pasó un instante en la caja
4,G1,1,Commercial Truck,V4,3,4,1,Espera en posición: 1
4,G1,2,Commercial Truck,V5,3,3,2,Espera en posición: 2
4,G1,3,Commercial Truck,V6,3,2,3,Espera en posición: 3
5,G0,0,Commercial Truck,V1,3,6,0,Pasó un instante en la caja
5,G0,1,Commercial Truck,V3,3,5,1,Espera en posición: 1
5,G0,2,Ambulance,V7,1,4,0,Espera en posición: 2
5,G0,3,Car,V8,2,3,0,Espera en posición: 3
5,G1,0,Commercial Truck,V2,3,6,0,Pasó un instante en la caja
5,G1,1,Commercial Truck,V4,3,5,1,Espera en posición: 1
5,G1,2,Commercial Truck,V5,3,4,2,Espera en posición: 2
5,G1,3,Commercial Truck,V6,3,3,3,Espera en posición: 3
6,G0,0,Commercial Truck,V1,3,7,0,Se le cobró lo correspondiente
6,G0,1,Commercial Truck,V3,3,6,1,Se movio de pos: 1 a pos: 0
6,G0,2,Ambulance,V7,1,5,0,Se movio de pos: 2 a pos: 1
6,G0,3,Car,V8,2,4,0,Se movio de pos: 3 a pos: 2
6,G1,0,Commercial Truck,V2,3,7,0,Se le cobró lo correspondiente
6,G1,1,Commercial Truck,V4,3,6,1,Se movio de pos: 1 a pos: 0
6,G1,2,Commercial Truck,V5,3,5,2,Se movio de pos: 2 a pos: 1
6,G1,3,Commercial Truck,V6,3,4,3,Se movio de pos: 3 a pos: 2
7,G0,0,Commercial Truck,V3,3,7,1,Pasó un instante en la caja
7,G0,1,Ambulance,V7,1,6,0,Espera en posición: 1
7,G0,2,Car,V8,2,5,0,Espera en posición: 2
7,G1,0,Commercial Truck,V4,3,7,1,Pasó un instante en la caja
7,G1,1,Commercial Truck,V5,3,6,2,Espera en posición: 1
7,G1,2,Commercial Truck,V6,3,5,3,Espera en posición: 2
8,G1,0,Commercial Truck,V4,3,8,1,Pasó un instante en la caja
8,G1,1,Commercial Truck,V5,3,7,2,Espera en posición: 1
8,G1,2,Commercial Truck,V6,3,6,3,Espera en posición: 2
8,G0,0,Commercial Truck,V3,3,8,1,Pasó un instante en la caja
8,G0,1,Ambulance,V7,1,7,0,Espera en posición: 1
8,G0,2,Car,V8,2,6,0,Espera en posición: 2
9,G1,0,Commercial Truck,V4,3,9,1,Se le cobró lo correspondiente
9,G1,1,Commercial Truck,V5,3,8,2,Se movio de pos: 1 a pos: 0
9,G1,2,Commercial Truck,V6,3,7,3,Se movio de pos: 2 a pos: 1
9,G0,0,Commercial Truck,V3,3,9,1,Se le cobró lo correspondiente
9,G0,1,Ambulance,V7,1,8,0,Se movio de pos: 1 a pos: 0
9,G0,2,Car,V8,2,7,0,Se movio de pos: 2 a pos: 1
10,G0,0,Ambulance,V7,1,9,0,Pasó un instante en la caja
10,G0,1,Car,V8,2,8,0,Espera en posición: 1
10,G1,0,Commercial Truck,V5,3,9,2,Pasó un instante en la caja
10,G1,1,Commercial Truck,V6,3,8,3,Espera en posición: 1
11,G0,0,Ambulance,V7,1,10,0,Pasó un instante en la caja
11,G0,1,Car,V8,2,9,0,Espera en posición: 1
11,G1,0,Commercial Truck,V5,3,10,2,Pasó un instante en la caja
11,G1,1,Commercial Truck,V6,3,9,3,Espera en posición: 1
12,G0,0,Ambulance,V7,1,11,0,Se le cobró lo correspondiente
12,G0,1,Car,V8,2,10,0,Se movio de pos: 1 a pos: 0
12,G1,0,Commercial Truck,V5,3,11,2,Se le cobró lo correspondiente
12,G1,1,Commercial Truck,V6,3,10,3,Se movio de pos: 1 a pos: 0
13,G0,0,Car,V8,2,11,0,Pasó un instante en la caja
13,G1,0,Commercial Truck,V6,3,11,3,Pasó un instante en la caja
14,G0,0,Car,V8,2,12,0,Pasó un instante en la caja
14,G1,0,Commercial Truck,V6,3,12,3,Pasó un instante en la caja
15,G0,0,Car,V8,2,13,0,Se le cobró lo correspondiente
15,G1,0,Commercial Truck,V6,3,13,3,Se le cobró lo correspondiente
